kernel_size,stride,dense_units,g,blades_idxs,sandwich,avg_train_accuracy,std_train_accuracy,avg_test_accuracy,std_test_accuracy,avg_test_accuracy_post,avg_precision_post,avg_recall_post,avg_f1_post
3,2,"[32, 64, 128, 256, 128, 64]","[1, 1]","[0, 1, 2, 3]",False,0.9509670079635949,0.029747311520404142,0.712346351374231,0.029747311520404142,0.712346351374231,0.7170362030962852,0.712346351374231,0.7092779900363146
3,2,"[32, 64, 128, 256, 128, 64]","[1, 1, 1]","[0, 1, 2, 3]",False,0.9568828213879408,0.029080628401922482,0.7569256165697837,0.029080628401922482,0.7569256165697837,0.7676718693997817,0.7569256165697837,0.754955416989746
3,2,"[32, 64, 128, 256, 128, 64]","[-1, -1]","[0, 1, 2, 3]",False,0.9692832764505119,0.03260692761760804,0.7284544838873525,0.03260692761760804,0.7284544838873525,0.7358469908576,0.7284544838873525,0.725562998314189
3,2,"[32, 64, 128, 256, 128, 64]","[-1, -1, -1]","[0, 1, 2, 3]",False,0.9529010238907851,0.01874533530468881,0.7133670071674473,0.01874533530468881,0.7133670071674473,0.7326017147214555,0.7133670071674473,0.7132106435868267
5,2,"[32, 64, 128, 256, 128, 64]","[1, 1]","[0, 1, 2, 3]",False,0.9675767918088738,0.0385938364070815,0.6815043173994018,0.0385938364070815,0.6815043173994018,0.6982567850903233,0.6815043173994018,0.6807225473408016
5,2,"[32, 64, 128, 256, 128, 64]","[1, 1, 1]","[0, 1, 2, 3]",False,0.9687144482366327,0.017854347648762398,0.7128506123370394,0.017854347648762398,0.7128506123370394,0.7214225745616749,0.7128506123370394,0.7122305275672394
5,2,"[32, 64, 128, 256, 128, 64]","[-1, -1]","[0, 1, 2, 3]",False,0.9541524459613197,0.013431121960118529,0.7714295389130312,0.013431121960118529,0.7714295389130312,0.7862755978230762,0.7714295389130312,0.7723338343446688
5,2,"[32, 64, 128, 256, 128, 64]","[-1, -1, -1]","[0, 1, 2, 3]",False,0.9599544937428897,0.008552457407524524,0.7877998194029008,0.008552457407524524,0.7877998194029008,0.8015954057262786,0.7877998194029008,0.7859280758106006
