kernel_size,stride,dense_units,g,blades_idxs,sandwich,avg_train_accuracy,std_train_accuracy,avg_test_accuracy,std_test_accuracy,avg_test_accuracy_post,avg_precision_post,avg_recall_post,avg_f1_post
3,2,"[32, 64, 128, 256, 128]","[1, 1]","[0, 1, 2, 3]",False,0.9621135757372421,0.030448940224267047,0.6913173217796305,0.030448940224267047,0.6913173217796305,0.698831370083677,0.6913173217796305,0.6908129776068026
3,2,"[32, 64, 128, 256, 128]","[1, 1, 1]","[0, 1, 2, 3]",False,0.9401622614189437,0.018821649521375966,0.6786372078655298,0.018821649521375966,0.6786372078655298,0.6958247531665315,0.6786372078655298,0.6796710973867135
3,2,"[32, 64, 128, 256, 128]","[-1, -1]","[0, 1, 2, 3]",False,0.9563377434470279,0.009909330335458435,0.6564944934549678,0.009909330335458435,0.6564944934549678,0.6832283163758548,0.6564944934549678,0.6565859272403642
3,2,"[32, 64, 128, 256, 128]","[-1, -1, -1]","[0, 1, 2, 3]",False,0.9638976454735302,0.02243153088829993,0.6692744208722523,0.02243153088829993,0.6692744208722523,0.6973385958380396,0.6692744208722523,0.6712455360375753
5,2,"[32, 64, 128, 256, 128]","[1, 1]","[0, 1, 2, 3]",False,0.9495158995448181,0.01856728512627939,0.692617143851719,0.01856728512627939,0.692617143851719,0.7062568562087683,0.692617143851719,0.6883860962807079
5,2,"[32, 64, 128, 256, 128]","[1, 1, 1]","[0, 1, 2, 3]",False,0.9496566006765768,0.03968546499038201,0.6706395634108813,0.03968546499038201,0.6706395634108813,0.6887308880732305,0.6706395634108813,0.6707597008948648
5,2,"[32, 64, 128, 256, 128]","[-1, -1]","[0, 1, 2, 3]",False,0.9161604825463439,0.03596943399060055,0.6104289324806914,0.03596943399060055,0.6104289324806914,0.636600120376406,0.6104289324806914,0.6089014340171737
5,2,"[32, 64, 128, 256, 128]","[-1, -1, -1]","[0, 1, 2, 3]",False,0.9652972427982359,0.17291198303445915,0.5907804160780087,0.17291198303445915,0.5907804160780087,0.5880753649382944,0.5907804160780087,0.5740641005113161
